Internal Reference,Name,aw_mfg_part_no,Product Category,Description,Manufacturer,Company,,,
0057-0000759-00-0002,3600B/26,3600B/26,Multicore Shield Cable,CABLE RND SHLD28AWG 13TW-PR,3m,All World Connect,,,
0057-0000257-00-0002,3600G/14,3600G/14,Multicore Shield Cable,CABLE RND SHLD28AWG 7TW-P,3m,All World Connect,,,
0018-0000747-00-0002,36210-0100FD,36210-0100FD,Connector=CPC/D-Sub/IDC/BNC,"CONNECTOR,SCR,10POS,RECPT,SN",3m,All World Connect,,,
0018-0002455-00-0002,36210-0100PL,36210-0100PL,Connector=CPC/D-Sub/IDC/BNC,"CONNECTOR,SCR,10POS,RECPT,GOLD",3m,All World Connect,,,
0034-0000068-00-0002,3625/06,3625/06,Flat Cable,FLAT CABLE 6 COND P:1MM,3m,All World Connect,,,
0034-0000069-00-0002,3625/10,3625/10,Flat Cable,FLAT CABLE 10 WAY 1MM P,3m,All World Connect,,,
0034-0000070-00-0002,3625/12,3625/12,Flat Cable,FLAT CABLE 12 WAYS GRY P1,3m,All World Connect,,,
0034-0000071-00-0002,3625/26,3625/26,Flat Cable,UL2651 28AWG 7/36 26C,3m,All World Connect,,,
0034-0000072-00-0002,3625/40,3625/40,Flat Cable,UL2651 28AWG 7/36 40COND,3m,All World Connect,,,
0034-0000250-00-0002,3625/50,3625/50,Flat Cable,UL2651 28AWG 7/36 50COND,3m,All World Connect,,,
0018-0000748-00-0002,3626-6600,3626-6600,Connector=CPC/D-Sub/IDC/BNC,"SOCKET,24 WAYS",3m,All World Connect,,,
0018-0000749-00-0002,36310-3200-008,36310-3200-008,Connector=CPC/D-Sub/IDC/BNC,"SHELL KIT SCR CONN,BLACK",3m,All World Connect,,,
0034-0000256-00-0002,3659/10,3659/10,Flat Cable,FLAT 10W 28AWG RND SHLD,3m,All World Connect,,,
0034-0000073-00-0002,3659/16,3659/16,Flat Cable,FLAT 16W 28AWG RND SHLD,3m,All World Connect,,,
0034-0000074-00-0002,3659/20,3659/20,Flat Cable,FLAT 20W 28AWG RND SHLD,3m,All World Connect,,,
0034-0000075-00-0002,3659/25,3659/25,Flat Cable,FLAT 25W 28AWG RND SHLD,3m,All World Connect,,,
0034-0000076-00-0002,3659/26,3659/26,Flat Cable,FLAT 26W 28AWG RND SHLD,3m,All World Connect,,,
0034-0000077-00-0002,3659/34,3659/34,Flat Cable,FLAT 34W 28AWG RND SHLD,3m,All World Connect,,,
0034-0000078-00-0002,3659/40,3659/40,Flat Cable,FLAT 40W 28AWG RND SHLD,3m,All World Connect,,,
0034-0000079-00-0002,3659/50,3659/50,Flat Cable,FLAT 50W 28AWG RND SHLD,3m,All World Connect,,,
0018-0000793-00-0002,37104-2165-000FL,37104-2165-000FL,Connector=CPC/D-Sub/IDC/BNC,CONN PLUG 4P #22-20 BLU,3m,All World Connect,,,
0034-0000080-00-0002,3749/26,3749/26,Flat Cable,"FLAT CBL,AWG30SOLID,.025""",3m,All World Connect,,,
0034-0000249-00-0002,3750/26,3750/26,Flat Cable,CABLE RND SHLD26AWG 13TW-PR,3m,All World Connect,,,
0034-0000081-00-0002,3750/38,3750/38,Flat Cable,CABLE RND SHLD26AWG 19TW-,3m,All World Connect,,,
0034-0000082-00-0002,3750/50,3750/50,Flat Cable,CABLE RND SHLD26AWG 25TW-,3m,All World Connect,,,
0034-0000083-00-0002,3754/20,3754/20,Flat Cable,"FLAT CBL,20COND,AWG30,PVC",3m,All World Connect,,,
